type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,Report
TRANSFER,181,C1305486145,181,0,C553264065,0,0,TRUE
CASH_OUT,181,C840083671,181,0,C38997010,21182,0,FALSE
TRANSFER,2806,C1420196421,2806,0,C972765878,0,0,TRUE
CASH_OUT,2806,C2101527076,2806,0,C1007251739,26202,0,FALSE
TRANSFER,20128,C137533655,20128,0,C1848415041,0,0,TRUE
CASH_OUT,20128,C1118430673,20128,0,C339924917,6268,12145.85,FALSE
CASH_OUT,416001.33,C749981943,0,0,C667346055,102,9291619.62,FALSE
TRANSFER,1277212.77,C1334405552,1277212.77,0,C431687661,0,0,TRUE
CASH_OUT,1277212.77,C467632528,1277212.77,0,C716083600,0,2444985.19,FALSE
TRANSFER,35063.63,C1364127192,35063.63,0,C1136419747,0,0,FALSE
CASH_OUT,35063.63,C1635772897,35063.63,0,C1983025922,31140,7550.03,TRUE
TRANSFER,25071.46,C669700766,25071.46,0,C1384210339,0,0,FALSE
CASH_OUT,25071.46,C1275464847,25071.46,0,C1364913072,9083.76,34155.22,FALSE
CASH_OUT,132842.64,C13692003,4499.08,0,C297927961,0,132842.64,TRUE
TRANSFER,235238.66,C1872047468,235238.66,0,C116289363,0,0,FALSE
CASH_OUT,235238.66,C1499825229,235238.66,0,C2100440237,0,235238.66,FALSE
TRANSFER,1096187.24,C1093223281,1096187.24,0,C2063275841,0,0,FALSE
CASH_OUT,1096187.24,C77163673,1096187.24,0,C644345897,0,1096187.24,FALSE
TRANSFER,963532.14,C1440057381,963532.14,0,C268086000,0,0,FALSE
CASH_OUT,963532.14,C430329518,963532.14,0,C991505714,132382.57,1095914.71,FALSE
PAYMENT,4024.36,C1265012928,2671,0,M1176932104,0,0,FALSE
DEBIT,5337.77,C712410124,41720,36382.23,C195600860,41898,40348.79,FALSE
DEBIT,9644.94,C1900366749,4465,0,C997608398,10845,157982.12,FALSE
PAYMENT,3099.97,C249177573,20771,17671.03,M2096539129,0,0,TRUE
PAYMENT,2560.74,C1648232591,5070,2509.26,M972865270,0,0,TRUE
PAYMENT,11633.76,C1716932897,10127,0,M801569151,0,0,TRUE
PAYMENT,4098.78,C1026483832,503264,499165.22,M1635378213,0,0,TRUE
CASH_OUT,229133.94,C905080434,15325,0,C476402209,5083,51513.44,TRUE
